List of all the Station (Stop) IDs existing on the iRail API and the "irail_stations.json" file.
These stations are available on the Online Getter used by the iRail API example,
unless a Stop/Station is closed after building these files.
Last update: Sat, 20 Apr 2019 17:57:21 (UTC)

 iRail Station ID | PyBuses Stop ID
BE.NMBS.008891124 | 8891124
BE.NMBS.008891132 | 8891132
BE.NMBS.008891140 | 8891140
BE.NMBS.008891157 | 8891157
BE.NMBS.008891165 | 8891165
BE.NMBS.008891173 | 8891173
BE.NMBS.008891264 | 8891264
BE.NMBS.008891314 | 8891314
BE.NMBS.008891405 | 8891405
BE.NMBS.008891553 | 8891553
BE.NMBS.008891611 | 8891611
BE.NMBS.008891629 | 8891629
BE.NMBS.008891645 | 8891645
BE.NMBS.008891652 | 8891652
BE.NMBS.008891660 | 8891660
BE.NMBS.008891702 | 8891702
BE.NMBS.008892007 | 8892007
BE.NMBS.008892031 | 8892031
BE.NMBS.008892056 | 8892056
BE.NMBS.008892080 | 8892080
BE.NMBS.008892106 | 8892106
BE.NMBS.008892205 | 8892205
BE.NMBS.008892254 | 8892254
BE.NMBS.008892288 | 8892288
BE.NMBS.008892304 | 8892304
BE.NMBS.008892320 | 8892320
BE.NMBS.008892338 | 8892338
BE.NMBS.008892403 | 8892403
BE.NMBS.008892452 | 8892452
BE.NMBS.008892601 | 8892601
BE.NMBS.008892627 | 8892627
BE.NMBS.008892635 | 8892635
BE.NMBS.008892643 | 8892643
BE.NMBS.008892650 | 8892650
BE.NMBS.008892692 | 8892692
BE.NMBS.008892734 | 8892734
BE.NMBS.008892908 | 8892908
BE.NMBS.008893013 | 8893013
BE.NMBS.008893039 | 8893039
BE.NMBS.008893047 | 8893047
BE.NMBS.008893054 | 8893054
BE.NMBS.008893062 | 8893062
BE.NMBS.008893070 | 8893070
BE.NMBS.008893120 | 8893120
BE.NMBS.008893179 | 8893179
BE.NMBS.008893211 | 8893211
BE.NMBS.008893252 | 8893252
BE.NMBS.008893260 | 8893260
BE.NMBS.008893401 | 8893401
BE.NMBS.008893443 | 8893443
BE.NMBS.008893518 | 8893518
BE.NMBS.008893526 | 8893526
BE.NMBS.008893534 | 8893534
BE.NMBS.008893542 | 8893542
BE.NMBS.008893559 | 8893559
BE.NMBS.008893567 | 8893567
BE.NMBS.008893583 | 8893583
BE.NMBS.008893708 | 8893708
BE.NMBS.008893815 | 8893815
BE.NMBS.008894151 | 8894151
BE.NMBS.008894201 | 8894201
BE.NMBS.008894235 | 8894235
BE.NMBS.008894425 | 8894425
BE.NMBS.008894433 | 8894433
BE.NMBS.008894508 | 8894508
BE.NMBS.008894672 | 8894672
BE.NMBS.008894714 | 8894714
BE.NMBS.008894748 | 8894748
BE.NMBS.008894755 | 8894755
BE.NMBS.008894821 | 8894821
BE.NMBS.008895000 | 8895000
BE.NMBS.008895067 | 8895067
BE.NMBS.008895091 | 8895091
BE.NMBS.008895125 | 8895125
BE.NMBS.008895208 | 8895208
BE.NMBS.008895232 | 8895232
BE.NMBS.008895240 | 8895240
BE.NMBS.008895257 | 8895257
BE.NMBS.008895422 | 8895422
BE.NMBS.008895430 | 8895430
BE.NMBS.008895448 | 8895448
BE.NMBS.008895455 | 8895455
BE.NMBS.008895463 | 8895463
BE.NMBS.008895471 | 8895471
BE.NMBS.008895489 | 8895489
BE.NMBS.008895505 | 8895505
BE.NMBS.008895570 | 8895570
BE.NMBS.008895612 | 8895612
BE.NMBS.008895620 | 8895620
BE.NMBS.008895638 | 8895638
BE.NMBS.008895646 | 8895646
BE.NMBS.008895711 | 8895711
BE.NMBS.008895729 | 8895729
BE.NMBS.008895737 | 8895737
BE.NMBS.008895745 | 8895745
BE.NMBS.008895752 | 8895752
BE.NMBS.008895760 | 8895760
BE.NMBS.008895778 | 8895778
BE.NMBS.008895802 | 8895802
BE.NMBS.008895836 | 8895836
BE.NMBS.008895844 | 8895844
BE.NMBS.008895851 | 8895851
BE.NMBS.008895869 | 8895869
BE.NMBS.008895877 | 8895877
BE.NMBS.008896008 | 8896008
BE.NMBS.008896115 | 8896115
BE.NMBS.008896149 | 8896149
BE.NMBS.008896230 | 8896230
BE.NMBS.008896305 | 8896305
BE.NMBS.008896370 | 8896370
BE.NMBS.008896388 | 8896388
BE.NMBS.008896396 | 8896396
BE.NMBS.008896412 | 8896412
BE.NMBS.008896503 | 8896503
BE.NMBS.008896735 | 8896735
BE.NMBS.008896800 | 8896800
BE.NMBS.008896909 | 8896909
BE.NMBS.008896925 | 8896925
